timeStamp,label,responseCode,bytes,URL,Latency,Hostname,Connect
1563808408315,ImageBox Amazon S3,200,2780,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/79849,81408,256,256/256,/0/default.jpg?test=",179,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,17474,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/176495,83653,256,256/256,/0/default.jpg?test=",198,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,50215,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/181784,70252,256,256/256,/0/default.jpg?test=",211,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,14605,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/138555,81315,256,256/256,/0/default.jpg?test=",222,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,30558,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/426,22934,256,256/256,/0/default.jpg?test=",231,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,70499,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/57495,11938,256,256/256,/0/default.jpg?test=",246,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,69681,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/156500,12214,256,256/256,/0/default.jpg?test=",256,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,62844,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/65220,4728,256,256/256,/0/default.jpg?test=",265,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,71466,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/178066,19283,256,256/256,/0/default.jpg?test=",396,DESKTOP-RTTOGI7,0
1563808408315,ImageBox Amazon S3,200,70128,"http://atoz.stonybrookmedicine.edu:8888/bog/https://ebremeribox.s3.amazonaws.com/image.svs/41661,13349,256,256/256,/0/default.jpg?test=",464,DESKTOP-RTTOGI7,0
1563808408795,ImageBox Local,200,9102,"http://atoz.stonybrookmedicine.edu:8888/bog/image.svs/21548,90614,256,256/256,/0/default.jpg?test=",35,DESKTOP-RTTOGI7,0
1563808408795,ImageBox Local,200,69007,"http://atoz.stonybrookmedicine.edu:8888/bog/image.svs/146030,26209,256,256/256,/0/default.jpg?test=",33,DESKTOP-RTTOGI7,0
1563808408795,ImageBox Local,200,34302,"http://atoz.stonybrookmedicine.edu:8888/bog/image.svs/114059,27544,256,256/256,/0/default.jpg?test=",39,DESKTOP-RTTOGI7,0
1563808408795,ImageBox Local,200,70463,"http://atoz.stonybrookmedicine.edu:8888/bog/image.svs/78726,35869,256,256/256,/0/default.jpg?test=",34,DESKTOP-RTTOGI7,0
